Date	Societe	Centre de couts	Nature comptable	Libelle de l'operation	Montant
janv.-22	Blue	Achats	641	Depenses Achats Bon n 44562641	360000
janv.-22	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44562641	600000
janv.-22	Blue	Logistique	641	Depenses Logistique Bon n 44562641	120000
janv.-22	Blue	Production	641	Depenses Production Bon n 44562641	300000
janv.-22	Blue	SAV	641	Depenses SAV Bon n 44562641	13200
févr.-22	Blue	Achats	641	Depenses Achats Bon n 44593641	360000
févr.-22	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44593641	600000
févr.-22	Blue	Logistique	641	Depenses Logistique Bon n 44593641	120000
févr.-22	Blue	Production	641	Depenses Production Bon n 44593641	300000
févr.-22	Blue	SAV	641	Depenses SAV Bon n 44593641	13200
mars-22	Blue	Achats	641	Depenses Achats Bon n 44621641	360000
mars-22	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44621641	600000
mars-22	Blue	Logistique	641	Depenses Logistique Bon n 44621641	120000
mars-22	Blue	Production	641	Depenses Production Bon n 44621641	300000
mars-22	Blue	SAV	641	Depenses SAV Bon n 44621641	13200
avr.-22	Blue	Achats	641	Depenses Achats Bon n 44652641	360000
avr.-22	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44652641	600000
avr.-22	Blue	Logistique	641	Depenses Logistique Bon n 44652641	120000
avr.-22	Blue	Production	641	Depenses Production Bon n 44652641	300000
avr.-22	Blue	SAV	641	Depenses SAV Bon n 44652641	13200
mai-22	Blue	Achats	641	Depenses Achats Bon n 44682641	360000
mai-22	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44682641	600000
mai-22	Blue	Logistique	641	Depenses Logistique Bon n 44682641	120000
mai-22	Blue	Production	641	Depenses Production Bon n 44682641	300000
mai-22	Blue	SAV	641	Depenses SAV Bon n 44682641	13200
juin-22	Blue	Achats	641	Depenses Achats Bon n 44713641	360000
